model_name,fold_id,horizon,horizon_step,target_date,point_forecast,actual,residual,abs_error
naive,1,7,2,2024-08-08,1.0,2.0,1.0,1.0
naive,1,7,2,2024-08-08,2.0,3.0,1.0,1.0
naive,1,7,2,2024-08-08,3.0,4.0,1.0,1.0
naive,1,7,2,2024-08-08,3.0,1.0,-2.0,2.0
naive,1,7,2,2024-08-08,4.0,5.0,1.0,1.0
naive,1,7,2,2024-08-08,1.0,2.0,1.0,1.0
naive,1,7,2,2024-08-08,1.0,2.0,1.0,1.0
naive,1,7,2,2024-08-08,1.0,2.0,1.0,1.0
naive,1,7,2,2024-08-08,3.0,2.0,-1.0,1.0
naive,1,7,2,2024-08-08,1.0,3.0,2.0,2.0
naive,1,7,2,2024-08-08,1.0,6.0,5.0,5.0
naive,1,7,2,2024-08-08,6.0,1.0,-5.0,5.0
naive,1,7,2,2024-08-08,6.0,2.0,-4.0,4.0
naive,1,7,2,2024-08-08,6.0,14.0,8.0,8.0
naive,1,7,2,2024-08-08,7.0,10.0,3.0,3.0
naive,1,7,2,2024-08-08,5.0,9.0,4.0,4.0
naive,1,7,2,2024-08-08,10.0,2.0,-8.0,8.0
naive,1,7,2,2024-08-08,7.0,4.0,-3.0,3.0
naive,1,7,2,2024-08-08,3.0,5.0,2.0,2.0
naive,1,7,2,2024-08-08,2.0,4.0,2.0,2.0
naive,1,7,2,2024-08-08,9.0,6.0,-3.0,3.0
naive,1,7,2,2024-08-08,6.0,1.0,-5.0,5.0
naive,1,7,2,2024-08-08,2.0,2.0,0.0,0.0
naive,1,7,2,2024-08-08,26.0,13.0,-13.0,13.0
naive,1,7,2,2024-08-08,7.0,9.0,2.0,2.0
naive,1,7,3,2024-08-09,16.0,19.0,3.0,3.0
naive,1,7,3,2024-08-09,28.0,27.0,-1.0,1.0
naive,1,7,3,2024-08-09,6.0,5.0,-1.0,1.0
naive,1,7,3,2024-08-09,5.0,10.0,5.0,5.0
naive,1,7,3,2024-08-09,1.0,1.0,0.0,0.0
naive,1,7,3,2024-08-09,7.0,2.0,-5.0,5.0
naive,1,7,3,2024-08-09,18.0,15.0,-3.0,3.0
naive,1,7,3,2024-08-09,3.0,2.0,-1.0,1.0
naive,1,7,3,2024-08-09,13.0,5.0,-8.0,8.0
naive,1,7,3,2024-08-09,3.0,4.0,1.0,1.0
naive,1,7,3,2024-08-09,5.0,5.0,0.0,0.0
naive,1,7,3,2024-08-09,17.0,12.0,-5.0,5.0
naive,1,7,3,2024-08-09,3.0,4.0,1.0,1.0
naive,1,7,3,2024-08-09,3.0,1.0,-2.0,2.0
naive,1,7,3,2024-08-09,4.0,3.0,-1.0,1.0
naive,1,7,3,2024-08-09,15.0,8.0,-7.0,7.0
naive,1,7,3,2024-08-09,1.0,4.0,3.0,3.0
naive,1,7,3,2024-08-09,16.0,8.0,-8.0,8.0
naive,1,7,3,2024-08-09,10.0,8.0,-2.0,2.0
naive,1,7,3,2024-08-09,9.0,6.0,-3.0,3.0
